Context,Android String Name,English,Spanish,Portuguese,Thai,Indonesian,Japanese,Chinese (Simplified),Chinese (Traditional)
Setup,setup,Account Setup,Configuración de cuenta,Configurações da conta,ตั้งค่าบัญชีผู้ใช้,Pengaturan Akun,アカウント設定,建立帐户,建立帳戶
Setup,login_prompt,Already own the My Utmost for His Highest App? Log in with your username and password here.,¿Ya posees la aplicación En pos de lo supremo? Ingresa aquí con el nombre de usuario y contraseña.,"Você já tem o aplicativo ""Tudo para Ele""? Entre com o seu nome de usuário e senha.",หากคุณใช้ app My Utmost for His Highest อยู่แล้ว คุณสามารถล็อกอินด้วยชื่อบัญชีผู้ใช้และรหัสผ่านได้ที่นี่,Sudah memiliki aplikasi Pengabdianku Bagi Kemuliaan-Nya? Daftar dengan nama dan sandi Anda di sini,すでにMy Utmost for His Highest Appのアカウントをお持ちの場合は、ユーザー名とパスワードでログインしてください。,已经下载《竭诚为主》应用程式？请在此处输入你的帐号和密码。,已經下載《竭誠為主》應用程式？請在此處輸入你的帳號和密碼。
Setup,register_prompt,Register today! And you will be able to sync your journal entries and bookmarks between all of your mobile devices.,¡Regístrate ya! Podrás sincronizar tus entradas y marcadores entre todos tus dispositivos móviles.,Inscreva-se hoje! Você poderá sincronizar suas postagens e marcadores entre todos os seus dispositivos eletrônicos.,ลงทะเบียนวันนี้! คุณจะสามารถซิงค์บันทึกและบุ๊คมาร์คระหว่างอุปกรณ์สื่อสารต่างๆ ของคุณได้,Daftar sekarang! Anda dapat sinkronkan catatan dan bookmark pada setiap perangkat yang Anda miliki.,今すぐアカウント登録をおすすめします。すべての携帯電話やタブレットで、デボーションノートやブックマークが同期できます。,今天就注册！你可以把你的笔记和书签同步至手机的所有设备。,今天就註冊！你可以把個人筆記和書籤同步至所有流動裝置。
Setup,,Customize your experience or get started now.,Personaliza tu cuenta o comienza ya.,Personalize sua conta ou comece já.,ปรับแต่งประสบการณ์ของคุณ หรือเริ่มต้นทันที,Pilih pengaturan Anda sendiri atau mulai sekarang.,カスタマイズ または すぐ読む,设定个人化体验或现在开始,設定個人化體驗或現在開始使用。
Setup,login,Login,Entrar,Entre,ล็อกอิน,Masuk,ログイン,登入,登入
Setup,register,Register,Registrarse,Cadastre-se,ลงทะเบียน ,Daftar,登録,注册,註冊
Setup,,Forgot Password?,¿Olvidaste tu contraseña?,Esqueceu a senha?,ลืมรหัสผ่าน,Lupa sandi?,パスワードをお忘れですか?,忘记密码？,忘記密碼？
Setup,email,Email,E-mail,Email,อีเมล์,E-mail,メールアドレス,电邮,電郵
Setup,username,Username,Nombre de usuario,Nome de usuário,ชื่อผู้ใช้,Nama Pengguna,ユーザー名,帐号,帳號
Setup,password,Password,Contraseña,Senha,รหัสผ่าน,Sandi,パスワード,密码,密碼
